Bike-Number,Rental-Time,Rental-Type,Rental-Location,Rental-Lat,Rental-Lng,Return-Time,Return-Type,Return-Location,Return-Lat,Return-Lng,Duration-Minutes,Movement-Type
16908,2025-07-20 21:56:15,Station (virtuell),Schwedter Straße/Korsörer Straße,52.547452,13.401035,2025-07-20 22:13:05,Station (virtuell),U Seestraße (Nordwest),52.550722,13.351722,16.8,Station:Station
18092,2025-07-20 21:29:05,Station (virtuell),U Kleistpark (West),52.490669,13.36,2025-07-20 22:13:05,Station (virtuell),Chausseestraße/Zinnowitzer Straße,52.532271,13.381129,44.0,Station:Station
100631,2025-07-20 21:40:43,Station (virtuell),U Birkenstraße (Südwest),52.53223,13.341018,2025-07-20 22:13:05,Station (virtuell),EDEKA Zahl (Dovestraße),52.520029,13.319995,32.4,Station:Station
16957,2025-07-20 21:40:43,Station (physisch),S+U Potsdamer Platz/Linkstraße,52.508075,13.376053,2025-07-20 22:13:05,Station (virtuell),S Wollankstraße (Sternstraße),52.565752,13.390951,32.4,Station:Station
19665,2025-07-20 21:56:15,Station (virtuell),Heinrich-Heine Platz,52.506459,13.417654,2025-07-20 22:13:05,Station (physisch),EDEKA Stresemannstraße,52.502103,13.385725,16.8,Station:Station
19958,2025-07-20 21:56:15,Station (physisch),**Jelbi S+U Hauptbahnhof/Europaplatz West (MOA/EW),52.525905,13.368661,2025-07-20 22:13:05,Station (physisch),Sportplatz Emdener Straße,52.530496,13.333955,16.8,Station:Station
10357,2025-07-20 21:56:15,Station (physisch),M Ackerstraße (Gedenkstätte Berliner Mauer),52.535408,13.390365,2025-07-20 22:13:05,Station (virtuell),Winsstraße/Immanuelkirchstraße,52.532567,13.424191,16.8,Station:Station
10508,2025-07-20 20:10:28,Station (physisch),Karl-Marx Allee,52.517383,13.44137,2025-07-20 22:13:05,Station (physisch),Weinbergspark,52.532496,13.399335,122.6,Station:Station
10707,2025-07-20 21:56:15,Station (virtuell),M Kopernikusstraße/Warschauer Straße (Nord),52.510837,13.451836,2025-07-20 22:13:05,Station (virtuell),Donaustraße/Erkstraße,52.481317,13.437352,16.8,Station:Station
100849,2025-07-20 21:56:15,Station (physisch),Oranienplatz,52.50195,13.416246,2025-07-20 22:13:05,Station (virtuell),Jelbi U Warschauer Straße/ Tamara-Danz-Straße (FHA/TA),52.505471,13.447331,16.8,Station:Station
17880,2025-07-20 21:56:15,Station (physisch),S Hackescher Markt,52.522325,13.401084,2025-07-20 22:13:05,Station (physisch),Rudi-Dutschke-Straße,52.507236,13.398167,16.8,Station:Station
17029,2025-07-20 21:56:15,Station (physisch),Am Tempelhofer Feld,52.476736,13.418464,2025-07-20 22:13:05,Station (virtuell),Großbeerenstraße/Hagelberger Straße,52.4916,13.382469,16.8,Station:Station
100024,2025-07-20 20:36:56,Station (virtuell),Columbiahalle,52.484394,13.393224,2025-07-20 22:13:05,Station (virtuell),virtuell - Braunschweiger Straße/Richardstraße,52.470978,13.446198,96.2,Station:Station
100859,2025-07-20 21:56:15,Station (virtuell),U Paradestraße (Südwest),52.47801,13.385607,2025-07-20 22:13:05,Station (virtuell),Mehringdamm/Fidicinstraße,52.487237,13.386286,16.8,Station:Station
15192,2025-07-20 21:40:43,Station (virtuell),Heckmannufer,52.497109,13.44881,2025-07-20 22:13:05,Station (virtuell),U Strausberger Platz (Ost),52.51775,13.43275,32.4,Station:Station
14679,2025-07-20 21:56:15,Station (virtuell),Görlitzer Straße (Landwehrkanal),52.495247,13.445072,2025-07-20 22:13:05,Station (physisch),Straßmannstraße,52.521557,13.447131,16.8,Station:Station
13372,2025-07-20 21:56:15,Station (virtuell),Weserstraße/Wildenbruchstraße,52.482806,13.441896,2025-07-20 22:13:05,Station (virtuell),VRAO 422 - Schlesische Straße (Abstellfläche Mikromobilität),52.498697,13.446161,16.8,Station:Station
18909,2025-07-20 21:56:15,Station (virtuell),Neue Bahnhofstraße/Boxhagener Straße (Süd),52.506022,13.470231,2025-07-20 22:13:05,Station (physisch),M Wühlischstraße/Holteistraße,52.50759,13.465178,16.8,Station:Station
18832,2025-07-20 21:57:18,Station (virtuell),EDEKA Fromm (S+U Wedding),52.542625,13.365796,2025-07-20 22:13:05,Station (physisch),Maxstr.,52.550496,13.362655,15.8,Station:Station
100665,2025-07-20 21:56:15,Station (physisch),Str. des 17. Juni,52.513071,13.326504,2025-07-20 22:13:05,Station (virtuell),EDEKA Urbschat (U Siemensdamm),52.536788,13.272009,16.8,Station:Station
19612,2025-07-20 20:10:28,Station (virtuell),Teufelsseechaussee (Parkplatz),52.492897,13.237703,2025-07-20 22:13:05,Station (virtuell),S Herrstraße (West),52.508238,13.258273,122.6,Station:Station
100944,2025-07-20 21:56:15,Station (virtuell),Lüneburger Straße/Paulstraße (IPU),52.519711,13.355843,2025-07-20 22:13:05,Station (virtuell),Perleberger Straße/Stendalstraße,52.532589,13.350352,16.8,Station:Station
19129,2025-07-20 21:40:43,Station (virtuell),U Mehringdamm (Gneisenaustraße/Süd),52.492532,13.387818,2025-07-20 22:13:05,Station (virtuell),Hansa-Ufer/Levetzowstraße,52.520004,13.337585,32.4,Station:Station
13690,2025-07-20 21:40:43,Freistehend,Flexzone,52.48252,13.363499,2025-07-20 22:13:05,Station (virtuell),Maßmannstraße/Lepsiusstraße,52.465282,13.32163,32.4,Flexzone:Station
18652,2025-07-20 21:56:15,Station (virtuell),S+U Yorckstraße (Süd),52.492776,13.368961,2025-07-20 22:13:05,Station (virtuell),Crellestraße/Langenscheidtbrücke,52.489059,13.363034,16.8,Station:Station
16440,2025-07-20 20:36:56,Station (virtuell),S Herrstraße (West),52.508238,13.258273,2025-07-20 22:13:05,Station (virtuell),S Herrstraße (West),52.508238,13.258273,96.2,Station:Station
13263,2025-07-20 21:56:15,Station (virtuell),Jelbi Burgstraße/Friedrichsbrücke (MIT/FR),52.52119,13.40063,2025-07-20 22:13:05,Station (physisch),U Hermannplatz/Hasenheide,52.487122,13.422333,16.8,Station:Station
17560,2025-07-20 21:56:15,Station (physisch),U Samariterstraße,52.515203,13.462885,2025-07-20 22:13:05,Station (physisch),Rochowstr./Corinthstr.,52.501032,13.459153,16.8,Station:Station
18078,2025-07-20 21:40:43,Station (physisch),U Görlitzer Bahnhof,52.499013,13.426178,2025-07-20 22:13:05,Station (virtuell),Pallasstraße (Ost),52.494076,13.361269,32.4,Station:Station
100035,2025-07-20 21:56:33,Station (physisch),Tegelerstraße/Lynarstraße,52.540019,13.358485,2025-07-20 22:13:05,Station (virtuell),EDEKA Fromm (S+U Wedding),52.542625,13.365796,16.5,Station:Station
14382,2025-07-20 21:56:15,Station (physisch),Potsdamer Str./Eichhornstr.,52.508957,13.371686,2025-07-20 22:13:05,Station (virtuell),VRAO 35 - Waldstraße (Mikromobilitätsabstellfläche),52.528175,13.330726,16.8,Station:Station
18155,2025-07-20 19:34:24,Station (physisch),Rudi-Dutschke-Straße,52.507236,13.398167,2025-07-20 22:13:05,Station (physisch),S Hackescher Markt,52.522325,13.401084,158.7,Station:Station
19154,2025-07-20 21:56:15,Station (virtuell),Weserstraße/Wildenbruchstraße,52.482806,13.441896,2025-07-20 22:13:05,Station (virtuell),VRAO 422 - Schlesische Straße (Abstellfläche Mikromobilität),52.498697,13.446161,16.8,Station:Station
17440,2025-07-20 21:40:43,Station (virtuell),EDEKA Center Grenzallee,52.469917,13.463417,2025-07-20 22:13:05,Station (virtuell),Alt-Mariendorf/Forddamm,52.439249,13.382846,32.4,Station:Station
10728,2025-07-20 21:40:43,Station (physisch),Schönleinstraße,52.491846,13.420875,2025-07-20 22:13:05,Station (virtuell),Heinrich-Roller-Straße/Prenzlauer Allee,52.531561,13.420154,32.4,Station:Station
15520,2025-07-20 22:13:05,Station (virtuell),EDEKA Brehm (U Schönleinstraße),52.494432,13.42098,2025-07-20 22:13:11,Station (virtuell),Maybachufer/Pannierstraße,52.491025,13.435587,0.1,Station:Station
18753,2025-07-20 22:13:05,Station (virtuell),S Storkower Straße (Nord),52.52445,13.465156,2025-07-20 22:13:11,Freistehend,außerhalb Flexzone,52.520213,13.473558,0.1,Station:NoFlexzone
