timestamp,station_name,event_type,duration_seconds,booked_bikes_entry,booked_bikes_exit,available_bikes_before,available_bikes_after,bikes_available_to_rent,bike_racks,free_racks,special_racks
2025-07-20T17:24:23,U Nauener Platz,booked:not_taken,210,1,0,1,1,1,4,3,0
2025-07-20T17:25:17,Seestraße/Nordufer,not_booked:bike_taken,0,0,0,19,18,18,4,0,0
2025-07-20T17:25:28,Neue Hochstraße,booked:not_taken,119,1,0,1,1,1,14,13,0
2025-07-20T17:25:28,Jelbi Campus Buch/D79 (BUC/D79),not_booked:bike_taken,0,0,0,6,5,5,10,5,0
2025-07-20T17:25:50,U Kochstraße,not_booked:bike_taken,0,0,0,3,2,2,9,7,0
2025-07-20T17:26:27,Jelbi S+U Brandenburger Tor/Pariser Platz (MIT/BR),not_booked:bike_taken,0,0,0,3,2,2,12,10,0
2025-07-20T17:26:27,Jelbi S+U Brandenburger Tor/Pariser Platz (MIT/BR),not_booked:bike_taken,0,0,0,3,2,2,12,10,0
2025-07-20T17:26:38,EDEKA Schnelle (Alt-Stralau),booked:not_taken,939,1,0,1,1,1,4,3,0
2025-07-20T17:26:38,Sportpromenade (Strandbad Grünau),not_booked:bike_taken,0,0,0,5,4,4,4,0,0
2025-07-20T17:26:38,S Köpenick (Süd),not_booked:bike_taken,0,0,0,3,2,2,6,4,0
2025-07-20T17:26:49,Storkower Straße/Paul-Junius-Straße,not_booked:bike_taken,0,0,0,5,4,4,4,0,0
2025-07-20T17:26:49,Ahrweilerstraße/Landauer Straße,not_booked:bike_taken,0,0,0,7,2,2,4,2,0
2025-07-20T17:26:49,Ahrweilerstraße/Landauer Straße,not_booked:bike_taken,0,0,0,7,2,2,4,2,0
2025-07-20T17:26:49,Ahrweilerstraße/Landauer Straße,not_booked:bike_taken,0,0,0,7,2,2,4,2,0
2025-07-20T17:26:49,Ahrweilerstraße/Landauer Straße,not_booked:bike_taken,0,0,0,7,2,2,4,2,0
2025-07-20T17:26:49,Ahrweilerstraße/Landauer Straße,not_booked:bike_taken,0,0,0,7,2,2,4,2,0
2025-07-20T17:27:42,Jelbi Herrfurthstraße/Hermannstraße (NEU/HH),booked:not_taken,933,1,0,1,1,1,8,7,0
2025-07-20T17:27:42,Fischerhüttenstraße/Elvirasteig,booked:bike_taken,308,1,0,3,2,2,4,1,0
2025-07-20T17:27:42,M Am Friedrichshain,not_booked:bike_taken,0,0,0,2,1,1,17,16,0
2025-07-20T17:28:04,S Bellevue (Nord),booked:bike_taken,690,2,0,3,2,2,5,2,0
2025-07-20T17:28:04,U Schlesisches Tor (Nord),booked:bike_taken,210,1,0,2,1,1,4,3,0
2025-07-20T17:28:36,Karl-Marx Allee,not_booked:bike_taken,0,0,0,11,10,10,16,6,0
2025-07-20T17:28:47,Jelbi S+U Friedrichstraße/Georgenstraße (MIT/FG),booked:bike_taken,43,1,0,2,1,1,8,7,0
2025-07-20T17:28:47,EDEKA S Greifwalder Straße (West),booked:not_taken,351,1,0,5,5,5,4,0,0
2025-07-20T17:28:57,Torgauer Straße (Gustav-Müller-Straße),not_booked:bike_taken,0,0,0,2,1,1,4,3,0
2025-07-20T17:28:57,EDEKA S Greifwalder Straße (West),not_booked:bike_taken,0,0,0,5,4,4,4,0,0
2025-07-20T17:28:57,S Köpenick (Süd),not_booked:bike_taken,0,0,0,2,1,1,6,5,0
2025-07-20T17:29:19,Jelbi S+U Brandenburger Tor/Unter den Linden (MIT/BU),not_booked:bike_taken,0,0,0,2,1,1,20,19,0
2025-07-20T17:29:19,S+U Hauptbahnhof Washingtonplatz,not_booked:bike_taken,0,0,0,9,8,8,8,0,0
2025-07-20T17:29:19,Seestraße/Nordufer,not_booked:bike_taken,0,0,0,21,20,20,4,0,0
2025-07-20T17:29:46,Am Tempelhofer Feld,not_booked:bike_taken,0,0,0,2,1,1,8,6,0
2025-07-20T17:29:52,Jelbi Dieffenbachstr./Grimmstr. (KRE/DG),not_booked:bike_taken,0,0,0,2,1,1,10,9,0
2025-07-20T17:30:03,**Helsingforser Platz (S Warschauer Straße),not_booked:bike_taken,0,0,0,14,13,13,12,0,0
2025-07-20T17:30:25,Ordensmeisterstraße/Tempelhofer Damm,booked:not_taken,384,1,0,1,1,1,4,3,0
2025-07-20T17:30:25,Gutenbergstraße/Englische Straße,booked:bike_taken,88,1,0,2,1,1,4,3,0
2025-07-20T17:30:25,VRAO 62 - Görlitzer Straße/Lübbenerstraße (Abstellfläche Mikromobilität),not_booked:bike_taken,0,0,0,2,1,1,4,2,0
2025-07-20T17:30:47,**Helsingforser Platz (S Warschauer Straße),not_booked:bike_taken,0,0,0,14,13,13,12,0,0
2025-07-20T17:31:03,Katzbachstraße,not_booked:bike_taken,0,0,0,5,4,4,15,11,0
2025-07-20T17:31:13,Hirschgarten (Fürstenwalder Damm),booked:not_taken,243,1,0,2,2,2,4,2,0
2025-07-20T17:31:35,Alte Jakobstraße/Lindenstraße,booked:bike_taken,432,1,0,3,2,2,4,2,0
2025-07-20T17:31:35,Jelbi Rathausstraße/Poststraße (MIT/RP),not_booked:bike_taken,0,0,0,5,4,4,10,6,0
2025-07-20T17:31:35,Hirschgarten (Fürstenwalder Damm),not_booked:bike_taken,0,0,0,2,1,1,4,3,0
2025-07-20T17:32:07,Jelbi Zimmerstraße/Friedrichstraße (MIT/ZF),not_booked:bike_taken,0,0,0,4,3,3,5,2,0
2025-07-20T17:32:18,Seestraße/Nordufer,not_booked:bike_taken,0,0,0,20,19,19,4,0,0
2025-07-20T17:32:50,S Feuerbachstraße,booked:not_taken,923,1,1,1,1,0,8,6,0
2025-07-20T17:32:50,Weslerstraße/Geisbergstraße,booked:not_taken,933,1,0,1,1,1,4,3,0
2025-07-20T17:33:01,M Mauerpark,not_booked:bike_taken,0,0,0,10,9,9,18,9,0
2025-07-20T17:33:01,U Kleistpark (Nord),not_booked:bike_taken,0,0,0,3,2,2,4,2,0
2025-07-20T17:33:12,Am Treptower Park/Herkomerstraße,not_booked:bike_taken,0,0,0,3,2,2,4,1,0
2025-07-20T17:33:23,Sonnenallee/Treptower Straße,booked:not_taken,108,1,0,1,1,1,7,6,0
2025-07-20T17:33:23,Jelbi Freie Universität/Fabeckstraße (DAH/FA),booked:not_taken,923,1,1,3,3,2,4,1,0
